month,AAPL,AMZN,CAT,JNJ,JPM,KO,MSFT,NVDA,V,XOM,EEM,EFA,IWM,QQQ,SPY,TLT,VNQ,XLE,XLK,XLV
2018-10-01,0.03561725224412332,0.06401165567579283,0.010295729888475163,0.006566598300539054,0.01967682383097579,0.0036831551626019185,0.04078385171518666,0.04571734508985045,0.026100654523210597,0.00642513504916743,-0.0009952447223932675,0.002233646084182754,0.0008246634670846312,0.008850788804064714,0.01098684756854984,-0.0011815605256620199,0.0053299432705454395,0.003078088228943631,0.01501402685677634,0.009591313349311415
2018-11-01,0.02751367711528055,0.035281725842799976,-0.014742844776725012,0.001334440011029267,0.011870991008223586,0.006886863121561106,0.024242855333745494,0.01904220037870752,0.019113376192269264,-0.001242022040514107,-0.010928252304610855,-0.005587297842311741,-0.007318131257868265,-0.002823387502937676,0.00426676415790092,-0.003496540581755172,0.00388301047888295,-0.00702233834497684,0.0013265188662512448,0.00726914446920158
2018-12-01,0.009083544093440893,0.03515751799481248,-0.010713760097804892,0.009939979499283179,0.014347565557462666,0.012023305421645024,0.027164720953189968,0.0218638972272311,0.020106371443971777,-0.001811032552273435,-0.006595636531733642,-0.005560390428218517,-0.018942602798436434,-0.010941552953061585,0.0054337808692070996,-0.006552586240533646,0.005344166730751498,-0.015995171999522495,-0.005242325877302933,0.010013887515336328
2019-01-01,0.003047304721298355,0.02566936363938989,-0.01943551606401086,-0.0019141466676630093,0.005067886601529009,0.007245679253345642,0.015021458651828913,0.04409103879533684,0.012816624294439156,-0.01565648635746439,-0.012402828765050748,-0.01094211837375119,-0.017005792376977483,-0.010327168047893904,-0.00417250229924339,-0.001637247768308652,-0.0009286315499867793,-0.020617375893956638,-0.005603872548032163,0.007019030140777696
2019-02-01,0.00950972843421916,0.014809237706145204,-0.01733532791294791,0.005202344220906622,-0.002926522139495317,0.0047735363927136724,0.011052267286461713,0.019102408496527605,0.007821280592216436,-0.012602841440452126,-0.010737971799578389,-0.009477316699560867,-0.008609955722110256,-0.009511670180552137,-0.004904107827446222,0.0021862769131449516,0.012469792086360152,-0.01688332193981945,-0.009062459245354574,0.005357616342507528
2019-03-01,0.006594152879874256,0.01027948829889314,-0.011478161550080844,0.0053449800323885615,-0.002303083880197492,0.006151062191107093,0.017412583886800902,0.013608840990308377,0.016991234137203055,0.003244247083655328,-0.0070802032017478755,-0.003266906646930605,-0.00139611743500125,-0.00405427088285351,0.0020791769207265066,0.0034071277102387344,0.019488478197078163,-0.0010112554225554637,0.0018596130884543961,0.008221822110508068
2019-04-01,0.018155499286949733,0.02183388897301954,-0.010816179668026815,0.0032349170713968298,-0.004481478826984646,0.010525127323303015,0.02705869896718115,0.0174325800952185,0.023560233157552995,0.0005832544518892761,-0.006545997584382793,-0.0017368229710568533,-0.0032170717983554527,0.0042579012237726295,0.005072761419467749,0.006297546137006751,0.019712662544059605,0.00027352835728011856,0.009274317407546863,0.01342068817220244
2019-05-01,0.023630181346281833,0.022787156111985556,-0.010293535699668618,0.012413915255275304,0.013456306603197748,0.01491670808722998,0.03096511172244832,0.017549976109919742,0.022208510729895044,-0.012343520143608995,-0.002716772983442886,-0.0006026838023197844,-0.003522467377550559,0.0072007535194838785,0.007807151825083744,0.003878318733206523,0.018852734818006072,-0.00970703385095115,0.011670783363903064,0.005756485904828199
2019-06-01,0.0016756503445227433,0.013066117773093067,-0.024843519342482016,0.00889904271577421,0.004850179753957709,0.01609472400125333,0.020601496635602644,-0.035868135446445064,0.019024831930709647,-0.016586151758911587,-0.00606027203027673,-0.0031478565533612085,-0.01159577471565158,-0.0013545625726713592,-0.0007684661193531695,0.008541140862187756,0.0158845515861172,-0.016199885644802514,0.00227637448444029,0.006503606220861397
2019-07-01,0.011025808456621326,0.014545999464750043,0.003752303924689026,0.010030019679606117,0.013599796668180775,0.018675565248850858,0.0257945425348831,-0.01986361291776065,0.021039978681917954,-0.004093003567008603,0.0031906235005560654,0.0030761731723171802,-0.00601479438236216,0.004007490211888433,0.00591089626380915,0.009783173026427346,0.013662519275476147,-0.00890376854708827,0.009378944920024388,0.009424451792718544
2019-08-01,0.017454503131333437,0.010079639028242753,-0.0037232694685588167,0.0024434692135690546,0.0068021097273217555,0.016254689648312073,0.02168133027367321,-0.0409867080460321,0.02199231510942332,-0.0022407300311511756,-0.002479806101626415,-0.0009489963653617666,-0.006300300276693189,0.0046833487821414605,0.0075930158137259545,0.007946597842759496,0.014595578990326118,-0.010906163507209438,0.011747500600291118,0.0031992754139004076
2019-09-01,-0.0021029254653986956,-0.006815869684673599,-0.005157993203053913,-0.004424936061042826,0.006874010730914875,0.022483580343593462,0.01893492637278109,-0.033798415655263855,0.017123298997530366,-0.005900849925357493,-0.002742140809698092,-0.0006653919623999369,-0.011160023134832948,0.0010102946573118255,0.004106698540943477,0.017691223570097978,0.015556891705033824,-0.016216390436743864,0.0028618649270126927,0.00028192340233652386
2019-10-01,0.0007820070018024258,-0.008261627794696302,-0.008440178219861571,-0.0019282011481925026,0.00448230455038606,0.020275316254004045,0.01701812918507209,-0.06078678867178195,0.009255026125792116,-0.005442703185446776,-0.0020303696099762286,0.0011895491753475369,-0.007010909125570274,0.002456370052548564,0.004670216951366302,0.019333423093783615,0.019357321395778657,-0.014415974008201994,0.00726358934793246,-0.0021619940282678178
2019-11-01,0.016205788048481787,0.01083634020138733,0.017228976052152116,0.005648270568896813,0.009549552454168555,0.015281207942694084,0.027054920410677637,-0.04746664921209155,0.022228113376053755,-0.006804003476473424,0.009004001905313629,0.010790280877958766,0.005998252316280073,0.013406374867119035,0.012258402468517223,0.021803815517316538,0.022677691131958094,-0.00597053788816124,0.018449848497565924,0.008283796876070407
2019-12-01,0.03920626725062108,0.007074156028449958,0.00910798742523566,-0.00234602255001418,0.015996390776514966,0.009010779996553319,0.027992213499625614,-0.011826737150801167,0.02190342933649652,-0.007065275333972517,0.005247304727297635,0.01133059626755423,0.009951933210945113,0.01962778683159928,0.010767374036189437,0.020556862782391088,0.01766799748583654,-0.0028849050129334374,0.02556331308404565,0.005685241249393028
